TIPE,STATUS,WEBSITE_SUMBER,URL_HALAMAN_SUMBER,ANCHOR_TEXT,URL_TARGET_KITA,DOMAIN_RATING,TIPE_LINK,NICHE_KATEGORI,KONTAK_EMAIL,KONTAK_WA,NAMA_PIC,TANGGAL_DIKIRIM,TANGGAL_LIVE,CATATAN
EXISTING,LIVE,otomotifnet.com,https://otomotifnet.com/review/icar-v23-jakarta,"dealer iCAR Jakarta Selatan",https://omodajaecoojaksel.id/v23.html,55,dofollow,Otomotif Media,,,"Editor OtomotifNet","2026-04-10","2026-04-15","Review unit iCAR V23"
EXISTING,LIVE,gridoto.com,https://gridoto.com/artikel/jaecoo-j5-ev,"JAECOO J5 EV Jakarta",https://omodajaecoojaksel.id/J5EV.html,60,dofollow,Otomotif Media,,,"Tim GridOto","2026-03-20","2026-03-28","Artikel peluncuran J5 EV"
EXISTING,LIVE,mobilkeren.id,https://mobilkeren.id/dealer-jaecoo-jaksel,"JAECOO & iCAR Jakarta Selatan",https://omodajaecoojaksel.id,42,dofollow,Otomotif Blog,,,"Admin Mobilkeren","2026-04-01","2026-04-05","Listing dealer resmi"
OUTREACH,PENDING,autofun.co.id,,,https://omodajaecoojaksel.id/v23.html,58,dofollow,Otomotif Media,redaksi@autofun.co.id,,"Editor Autofun","2026-05-20",,"Kirim email pitch artikel iCAR V23"
OUTREACH,PENDING,carmudi.co.id,,,https://omodajaecoojaksel.id,65,dofollow,Marketplace Otomotif,partner@carmudi.co.id,,"Partnership Carmudi","2026-05-21",,"Request listing dealer resmi"
OUTREACH,PENDING,moladin.com,,,https://omodajaecoojaksel.id,62,dofollow,Marketplace Otomotif,info@moladin.com,,"Tim Moladin","2026-05-22",,"Daftar sebagai dealer partner"
OUTREACH,BELUM_DIKIRIM,oto.com,,,https://omodajaecoojaksel.id/j7.html,70,dofollow,Marketplace Otomotif,,,,"","","Review JAECOO J7"
OUTREACH,BELUM_DIKIRIM,carro.id,,,https://omodajaecoojaksel.id,55,dofollow,Marketplace Otomotif,,,,"","","Partnership dealer listing"
OUTREACH,BELUM_DIKIRIM,wahanaotomotif.com,,,https://omodajaecoojaksel.id,40,dofollow,Otomotif Blog,,,,"","","Guest post review SUV EV Jakarta"
OUTREACH,BELUM_DIKIRIM,kompas.com,,,https://omodajaecoojaksel.id/v23.html,85,dofollow,Berita Umum,,,,"","","Press release iCAR V23 ke desk otomotif"
OUTREACH,BELUM_DIKIRIM,detik.com,,,https://omodajaecoojaksel.id/v23.html,90,dofollow,Berita Umum,,,,"","","Press release iCAR V23"
OUTREACH,BELUM_DIKIRIM,cnbcindonesia.com,,,https://omodajaecoojaksel.id,88,dofollow,Berita Bisnis,,,,"","","Artikel industri EV Indonesia"
OUTREACH,BELUM_DIKIRIM,jakartapost.com,,,https://omodajaecoojaksel.id,82,dofollow,Berita Umum,,,,"","","EV market Jakarta Selatan"
OUTREACH,BELUM_DIKIRIM,bisnis.com,,,https://omodajaecoojaksel.id,78,dofollow,Berita Bisnis,,,,"","","Artikel pertumbuhan EV Jakarta"
OUTREACH,BELUM_DIKIRIM,liputan6.com,,,https://omodajaecoojaksel.id/v23.html,80,dofollow,Berita Umum,,,,"","","Press release iCAR V23 Pro RWD"
OUTREACH,BELUM_DIKIRIM,tribunnews.com,,,https://omodajaecoojaksel.id,75,dofollow,Berita Umum,,,,"","","Liputan dealer JAECOO Jakarta Selatan"
EXISTING,LOST,mobilitas.id,https://mobilitas.id/jaecoo-jaksel,"dealer JAECOO jaksel",https://omodajaecoojaksel.id,38,dofollow,Otomotif Blog,,,"Admin Mobilitas","2026-02-15","2026-02-20","Link hilang saat redesign - perlu follow up"
